yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
192211,8.8,0.5058,0.6567,0.490227153,0.0366,0.0509,0.0698,0.0433,NaN,0.003092,0.005988024,NaN,NaN,0.002435211,NaN,NaN,NaN
192212,8.78,0.51,0.69,0.472649486,0.0365,0.0508,0.0702,0.0432,NaN,0.00305,0.005952381,NaN,NaN,0.000755369,NaN,NaN,NaN
192301,8.9,0.5117,0.7142,0.476239351,0.0366,0.0504,0.0698,0.0432,NaN,0.003042,-0.00591716,NaN,NaN,0.000580406,NaN,NaN,NaN
192302,9.28,0.5133,0.7383,0.446583253,0.0365,0.0507,0.0697,0.0433,NaN,0.00305,0,NaN,NaN,0.000475524,NaN,NaN,NaN
192303,9.43,0.515,0.7625,0.50209205,0.0412,0.0513,0.0709,0.0438,NaN,0.003042,0,NaN,NaN,0.000561,NaN,NaN,NaN
192304,9.1,0.5167,0.7867,0.524496849,0.0413,0.0522,0.0717,0.0439,NaN,0.003433,0.005952381,NaN,NaN,0.000977805,NaN,NaN,NaN
192305,8.67,0.5183,0.8108,0.529067979,0.0395,0.0516,0.0717,0.0437,NaN,0.003442,0,NaN,NaN,0.002756796,NaN,NaN,NaN
192306,8.34,0.52,0.835,0.583710407,0.0384,0.0515,0.0721,0.0434,NaN,0.003292,0.00591716,NaN,NaN,0.002968947,NaN,NaN,NaN
192307,8.06,0.5217,0.8592,0.593717639,0.0391,0.0514,0.0734,0.0434,NaN,0.0032,0.011764706,NaN,NaN,0.002372374,NaN,NaN,NaN
192308,8.1,0.5233,0.8833,0.552107854,0.0386,0.0508,0.0738,0.0435,NaN,0.003258,-0.005813954,NaN,NaN,0.000970882,NaN,NaN,NaN
192309,8.15,0.525,0.9075,0.586563601,0.0401,0.0512,0.0738,0.0436,NaN,0.003217,0.005847953,NaN,NaN,0.00122064,NaN,NaN,NaN
192310,8.03,0.5267,0.9317,0.58285327,0.0422,0.0511,0.0746,0.044,NaN,0.003342,0.005813954,NaN,NaN,0.001633435,NaN,NaN,NaN
192311,8.27,0.5283,0.9558,0.558804419,0.0394,0.0509,0.074,0.0437,NaN,0.003517,0,NaN,NaN,0.000598434,NaN,NaN,NaN
192312,8.55,0.53,0.98,0.540201005,0.0388,0.0509,0.0738,0.0435,NaN,0.003283,0,NaN,NaN,0.000580665,NaN,NaN,NaN
192401,8.83,0.5317,0.9758,0.51261673,0.0376,0.0509,0.0724,0.043,NaN,0.003233,0,NaN,NaN,0.000747512,NaN,NaN,NaN
192402,8.87,0.5333,0.9717,0.530754989,0.0354,0.0509,0.0714,0.0428,NaN,0.003133,-0.005780347,NaN,NaN,0.001519486,NaN,NaN,NaN
192403,8.7,0.535,0.9675,0.594559725,0.0357,0.051,0.0708,0.0428,NaN,0.00295,-0.005813954,NaN,NaN,0.000775929,NaN,NaN,NaN
192404,8.5,0.5367,0.9633,0.610173232,0.0338,0.0508,0.0703,0.0423,NaN,0.002975,-0.005847953,NaN,NaN,0.001094775,NaN,NaN,NaN
192405,8.47,0.5383,0.9592,0.61512792,0.0229,0.0504,0.0697,0.0415,NaN,0.002817,0,NaN,NaN,0.00073527,NaN,NaN,NaN
192406,8.63,0.54,0.955,0.57383003,0.0244,0.0499,0.0682,0.0398,NaN,0.001908,0,NaN,NaN,0.000764676,NaN,NaN,NaN
192407,9.03,0.5417,0.9508,0.541413746,0.0192,0.0495,0.0667,0.0394,NaN,0.002033,0.005882353,NaN,NaN,0.000377282,NaN,NaN,NaN
192408,9.34,0.5433,0.9467,0.53101594,0.019,0.0495,0.0669,0.0391,NaN,0.0016,-0.005847953,NaN,NaN,0.000693724,NaN,NaN,NaN
192409,9.25,0.545,0.9425,0.536060489,0.0214,0.0495,0.0673,0.0392,NaN,0.001583,0.005882353,NaN,NaN,0.000869972,NaN,NaN,NaN
192410,9.13,0.5467,0.9383,0.531424178,0.0241,0.0492,0.0662,0.0387,NaN,0.001783,0.005847953,NaN,NaN,0.001126158,NaN,NaN,NaN
192411,9.64,0.5483,0.9342,0.497749775,0.0258,0.0494,0.0654,0.039,NaN,0.002008,0,NaN,NaN,0.000951055,NaN,NaN,NaN
192412,10.16,0.55,0.93,0.45888308,0.0257,0.0495,0.0646,0.0396,NaN,0.00215,0.005813954,NaN,NaN,0.001065724,NaN,NaN,NaN
192501,10.58,0.5542,0.9567,0.447809539,0.0261,0.0495,0.0644,0.0396,NaN,0.002142,0,NaN,NaN,0.001054162,NaN,NaN,NaN
192502,10.67,0.5583,0.9833,0.452388744,0.0262,0.0495,0.0636,0.0395,NaN,0.002175,-0.005780347,NaN,NaN,0.001055541,NaN,NaN,NaN
192503,10.39,0.5625,1.01,0.52248394,0.0278,0.0491,0.0636,0.0396,NaN,0.002183,0.005813954,NaN,NaN,0.002953295,NaN,NaN,NaN
192504,10.28,0.5667,1.037,0.508290976,0.0278,0.0487,0.0641,0.0393,NaN,0.002317,-0.005780347,NaN,NaN,0.000746206,NaN,NaN,NaN
192505,10.61,0.5708,1.063,0.469411312,0.0273,0.0483,0.063,0.0387,NaN,0.002317,0.005813954,NaN,NaN,0.000520323,NaN,NaN,NaN
192506,10.8,0.575,1.09,0.465613312,0.0286,0.0483,0.0618,0.0379,NaN,0.002275,0.011560694,NaN,NaN,0.000841607,NaN,NaN,NaN
192507,11.1,0.5792,1.117,0.455870264,0.0306,0.0487,0.062,0.0379,NaN,0.002383,0.011428571,NaN,NaN,0.00037749,NaN,NaN,NaN
192508,11.25,0.5833,1.143,0.432072532,0.0301,0.049,0.0624,0.0385,NaN,0.00255,0,NaN,NaN,0.000543903,NaN,NaN,NaN
192509,11.51,0.5875,1.17,0.425205632,0.0317,0.0487,0.062,0.0385,NaN,0.002508,0,NaN,NaN,0.001456289,NaN,NaN,NaN
192510,11.89,0.5917,1.197,0.391904915,0.0353,0.0485,0.0617,0.0382,NaN,0.002642,0,NaN,NaN,0.000747531,NaN,NaN,NaN
192511,12.26,0.5958,1.223,0.403759598,0.0365,0.0484,0.0617,0.0379,NaN,0.002942,0.016949153,NaN,NaN,0.002719478,NaN,NaN,NaN
192512,12.46,0.6,1.25,0.389378271,0.0351,0.0485,0.0615,0.038,NaN,0.003042,-0.005555556,NaN,NaN,0.000512682,NaN,NaN,NaN
192601,12.74,0.6075,1.249,0.387670798,0.0349,0.0482,0.0609,0.0374,NaN,0.002925,0,0.0138,0.0072,0.000857428,NaN,-0.001783,-0.00398
192602,12.18,0.615,1.248,0.394362555,0.0318,0.0477,0.0602,0.0372,NaN,0.002908,0,0.0063,0.0045,0.001098596,NaN,-0.033296,-0.037876
192603,11.46,0.6225,1.248,0.494090844,0.0314,0.0479,0.0605,0.0371,NaN,0.00265,-0.005586592,0.0041,0.0084,0.0060156,NaN,-0.057708,-0.062007
192604,11.72,0.63,1.247,0.482916986,0.0308,0.0474,0.0598,0.0368,NaN,0.002617,0.005617978,0.0076,0.0097,0.001465915,NaN,0.038522,0.034856
192605,11.81,0.6375,1.246,0.483859723,0.0317,0.0471,0.0586,0.0369,NaN,0.002567,-0.005586592,0.0014,0.0044,0.000690357,NaN,0.013623,0.00907
192606,12.32,0.645,1.245,0.453476215,0.0293,0.0472,0.058,0.0368,NaN,0.002642,-0.005617978,0.0038,0.0004,0.000601689,NaN,0.056427,0.050196
192607,12.88,0.6525,1.244,0.43326258,0.0311,0.0471,0.0579,0.037,NaN,0.0022,-0.011299435,0.0004,0.0057,0.000642888,NaN,0.040403,0.038168
192608,13.1,0.66,1.243,0.427050643,0.0327,0.0472,0.0581,0.0373,NaN,0.0025,-0.005714286,0,0.0044,0.001208628,NaN,0.029822,0.025747
192609,13.4,0.6675,1.242,0.43871294,0.0342,0.0472,0.0579,0.0372,NaN,0.0023,0.005747126,0.0038,0.0057,0.000740769,NaN,0.01342,0.009122
192610,12.98,0.675,1.242,0.460334306,0.0358,0.0471,0.0581,0.0367,NaN,0.0032,0.005714286,0.0102,0.0097,0.002161148,NaN,-0.030172,-0.032434
192611,13.27,0.6825,1.241,0.443308847,0.0335,0.0468,0.0577,0.0358,NaN,0.0031,0.005681818,0.016,0.0057,0.000538589,NaN,0.026937,0.019367
192612,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,0.050876177,0.0028,0,0.0078,0.0056,0.000464618,NaN,0.026047,0.020321
192701,13.21,0.6967,1.229,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050823785,0.0025,-0.011299435,0.0075,0.0056,0.000469895,NaN,-0.00291,-0.005579
192702,13.84,0.7033,1.218,0.428500864,0.0329,0.0467,0.0559,0.0347,0.051667643,0.0026,-0.005714286,0.0088,0.0069,0.000287334,NaN,0.045522,0.040566
192703,13.93,0.71,1.208,0.469765117,0.032,0.0462,0.0554,0.0331,0.046356576,0.003,-0.005747126,0.0253,0.0083,0.000924193,NaN,0.007324,0.00261
192704,14.17,0.7167,1.197,0.45675413,0.0339,0.0458,0.0548,0.0333,0.050514024,0.0025,0,-0.0005,0.0055,0.000602589,NaN,0.013021,0.010907
192705,14.91,0.7233,1.186,0.434782609,0.0333,0.0457,0.055,0.0327,0.05527539,0.003,0.005780347,0.0109,-0.0011,0.000391734,NaN,0.062353,0.057096
192706,14.77,0.73,1.175,0.452385249,0.0307,0.0458,0.0555,0.0334,0.058821916,0.0026,0.011494253,-0.0069,0.0043,0.000824577,NaN,-0.02037,-0.025705
192707,15.73,0.7367,1.164,0.414553473,0.0296,0.046,0.0555,0.0333,0.059749925,0.003,-0.017045455,0.005,0.0003,0.00042578,NaN,0.08445,0.081687
192708,16.43,0.7433,1.153,0.396227409,0.027,0.0456,0.0548,0.0329,0.054521772,0.0028,-0.005780347,0.0076,0.0083,0.001276414,NaN,0.03332,0.028624
192709,17.14,0.75,1.143,0.380586062,0.0268,0.0454,0.0542,0.033,0.094612977,0.0021,0.005813954,0.0018,0.0149,0.00112335,NaN,0.053016,0.049095
192710,16.23,0.7567,1.132,0.413800693,0.0308,0.0451,0.0538,0.0325,0.094366735,0.0025,0.005780347,0.0099,0.0055,0.001559338,NaN,-0.046804,-0.04896
192711,17.33,0.7633,1.121,0.379395591,0.0304,0.0449,0.0535,0.032,0.082267186,0.0021,-0.005747126,0.0097,0.0068,0.000929659,NaN,0.070546,0.06427
192712,17.66,0.77,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,0.076471109,0.0022,0,0.0072,0.0068,0.000604204,NaN,0.019295,0.014403
192801,17.57,0.7767,1.133,0.378669621,0.0331,0.0446,0.0535,0.0321,0.062601454,0.0025,0,-0.0036,0.0027,0.000860526,NaN,-0.007182,-0.0092
192802,17.26,0.7833,1.155,0.386076599,0.0333,0.0446,0.0533,0.0318,0.055172634,0.0033,-0.011560694,0.0061,0.0068,0.000691124,NaN,-0.012549,-0.016679
192803,19.13,0.79,1.177,0.363254838,0.0327,0.0446,0.0532,0.0317,0.054363937,0.0029,0,0.0045,0.0041,0.001381008,NaN,0.105752,0.101652
192804,19.75,0.7967,1.2,0.368095261,0.0362,0.0446,0.0533,0.0319,0.049372064,0.0022,0,-0.0004,0.0014,0.00148796,NaN,0.034725,0.032715
192805,20,0.8033,1.222,0.354396979,0.039,0.0449,0.0542,0.0327,0.047187376,0.0032,0.005847953,-0.0077,-0.0078,0.001898859,NaN,0.012325,0.007422
192806,19.19,0.81,1.245,0.370299948,0.0392,0.0457,0.0555,0.0326,0.050298789,0.0031,-0.005813954,0.0041,-0.0024,0.003645477,NaN,-0.03433,-0.038725
192807,19.43,0.8167,1.268,0.360648148,0.0412,0.0461,0.0558,0.0344,0.05938033,0.0032,0,-0.0217,-0.001,0.00167498,NaN,0.010117,0.008278
192808,20.87,0.8233,1.29,0.324029783,0.0436,0.0464,0.0561,0.0341,0.057398906,0.0032,0,0.0076,0.0083,0.001229317,NaN,0.07023,0.065514
192809,21.37,0.83,1.312,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.0027,0.011695906,-0.0041,0.003,0.000650464,NaN,0.022409,0.019937
192810,21.68,0.8367,1.335,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.0041,-0.005780347,0.0158,0.0083,0.000678846,NaN,0.013839,0.012055
192811,24.28,0.8433,1.357,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.0038,0,0.0003,-0.0036,0.001523296,NaN,0.122975,0.116704
192812,24.35,0.85,1.38,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.0006,-0.005813954,0.0004,0.0084,0.00407747,NaN,0.006232,0.002888
192901,25.74,0.86,1.399,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.0034,0,-0.009,0.0043,0.001700823,NaN,0.055473,0.053892
192902,25.59,0.87,1.418,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.0036,0,-0.0157,0.003,0.002670117,NaN,-0.004874,-0.008075
192903,25.53,0.88,1.438,0.27230047,0.046,0.047,0.0579,0.0377,0.079804566,0.0034,-0.005847953,-0.0144,-0.0087,0.003611407,NaN,0.000154,-0.003213
192904,25.94,0.89,1.457,0.263396912,0.048,0.0469,0.058,0.0358,0.099322633,0.0036,-0.005882353,0.0275,0.0019,0.002304362,NaN,0.019559,0.018234
192905,24.83,0.9,1.476,0.282774621,0.0509,0.047,0.058,0.0373,0.117986668,0.0044,0.00591716,-0.0162,0.0045,0.004759808,NaN,-0.041281,-0.046101
192906,27.62,0.91,1.495,0.253580582,0.048,0.0477,0.0594,0.0367,0.11619736,0.0052,0.005882353,0.011,-0.0046,0.00134038,NaN,0.112294,0.109584
192907,28.88,0.92,1.514,0.24187518,0.0455,0.0477,0.0595,0.0369,0.11068794,0.0033,0.011695906,0,0.002,0.001281813,NaN,0.050014,0.048186
192908,31.71,0.93,1.533,0.221123761,0.047,0.0479,0.0604,0.0375,0.115277315,0.004,0,-0.0034,0.002,0.003382102,NaN,0.094871,0.090733
192909,30.16,0.94,1.552,0.244868249,0.0458,0.048,0.0612,0.0375,0.121390118,0.0035,0,0.0027,0.0034,0.003392282,NaN,-0.050941,-0.053046
192910,24.15,0.95,1.572,0.307484187,0.0437,0.0477,0.0611,0.0347,0.159611836,0.0046,0,0.0382,0.0073,0.053507543,NaN,-0.18615,-0.188115
192911,20.92,0.96,1.591,0.351956476,0.0347,0.0476,0.0603,0.0331,0.177039792,0.0037,0,0.0236,-0.0018,0.036448746,NaN,-0.125359,-0.130374
192912,21.45,0.97,1.61,0.338457824,0.0303,0.0467,0.0595,0.034,0.163522172,0.0037,-0.005780347,-0.0089,0.0192,0.01021463,NaN,0.027753,0.023571
193001,22.79,0.9708,1.557,0.314816201,0.0339,0.0466,0.0592,0.0347,0.153314199,0.0014,-0.005813954,-0.0057,0.0059,0.001433161,NaN,0.059632,0.057032
193002,23.28,0.9717,1.503,0.310206189,0.0336,0.0469,0.0589,0.0339,0.159255629,0.003,-0.005847953,0.0129,0.0072,0.001724706,NaN,0.026041,0.021516
193003,25.14,0.9725,1.45,0.319119189,0.0295,0.0462,0.0573,0.0335,0.145496177,0.0035,-0.005882353,0.0083,0.0138,0.001504044,NaN,0.072348,0.069351
193004,24.9,0.9733,1.397,0.326970598,0.03,0.046,0.057,0.0338,0.129680892,0.0021,0.00591716,-0.0016,0.0084,0.001933862,NaN,-0.013938,-0.015867
193005,24.49,0.9742,1.343,0.331915512,0.0241,0.046,0.0572,0.0329,0.124926807,0.0026,-0.005882353,0.0139,0.0057,0.004693439,NaN,-0.011148,-0.015304
193006,20.46,0.975,1.29,0.403375453,0.0189,0.0457,0.0578,0.0328,0.131001045,0.0027,-0.00591716,0.0051,0.011,0.014447862,NaN,-0.155715,-0.159182
193007,21.21,0.9758,1.237,0.390187615,0.0183,0.0452,0.0577,0.0327,0.140550833,0.002,-0.011904762,0.0034,0.0056,0.004920446,NaN,0.038713,0.036395
193008,21.37,0.9767,1.183,0.379752101,0.0153,0.0447,0.0573,0.0328,0.121494954,0.0009,-0.006024096,0.0013,0.0136,0.004049927,NaN,0.011266,0.006691
193009,18.59,0.9775,1.13,0.445583211,0.0177,0.0442,0.0565,0.0324,0.127200376,0.0022,0.006060606,0.0074,0.0108,0.003738406,NaN,-0.123549,-0.127635
193010,16.94,0.9783,1.077,0.497954731,0.0174,0.0442,0.0594,0.0324,0.129491358,0.0009,-0.006024096,0.0035,0.0054,0.012876666,NaN,-0.08368,-0.086394
193011,16.57,0.9792,1.023,0.504670831,0.014,0.0447,0.0625,0.0322,0.137752868,0.0013,-0.006060606,0.0042,-0.0012,0.007160072,NaN,-0.019736,-0.024113
193012,15.34,0.98,0.97,0.554745413,0.0148,0.0452,0.0671,0.033,0.113885891,0.0014,-0.018292683,-0.007,-0.009,0.008166329,NaN,-0.071479,-0.077707
193101,16.09,0.9667,0.94,0.539152002,0.0124,0.0442,0.0641,0.0343,0.089722129,0.0015,-0.01242236,-0.0121,0.0203,0.005224312,NaN,0.059527,0.056729
193102,17.93,0.9533,0.91,0.479667963,0.0106,0.0443,0.0638,0.0338,0.082543575,0.0004,-0.012578616,0.0085,0.0068,0.002884626,NaN,0.110943,0.105279
193103,16.69,0.94,0.88,0.529125087,0.0138,0.0439,0.0644,0.0332,0.073980154,0.0013,-0.006369427,0.0104,0.0094,0.004168752,NaN,-0.068939,-0.073451
193104,15.09,0.9267,0.85,0.603214498,0.0149,0.044,0.0672,0.0327,0.077781013,0.0008,-0.006410256,0.0086,0.0067,0.006709266,NaN,-0.092955,-0.09546
193105,13.02,0.9133,0.82,0.709948622,0.0088,0.0437,0.0715,0.0317,0.071381538,0.0009,-0.012903226,0.0145,0.0134,0.006910695,NaN,-0.137674,-0.14302
193106,14.83,0.9,0.79,0.607271275,0.0055,0.0436,0.0736,0.0319,0.063758597,0.0008,-0.013071895,0.0004,0.0052,0.02333295,NaN,0.146492,0.139763
193107,13.73,0.8867,0.76,0.673609572,0.0041,0.0436,0.0708,0.0325,0.034007378,0.0006,0,-0.0042,0.0052,0.007039256,NaN,-0.075465,-0.07857
193108,13.86,0.8733,0.73,0.654185496,0.0042,0.044,0.0747,0.0326,0.02015828,0.0003,0,0.0012,0.0012,0.00454204,NaN,0.007779,0.002304
193109,9.71,0.86,0.7,0.944001656,0.0045,0.0455,0.0807,0.0353,0.030371888,0.0003,-0.006622517,-0.0281,-0.0014,0.023458995,NaN,-0.287461,-0.291524
193110,10.53,0.8467,0.67,0.877176109,0.017,0.0499,0.0904,0.0385,0.011271186,0.001,-0.006666667,-0.033,-0.0363,0.042501956,NaN,0.076738,0.072834
193111,9.5,0.8333,0.64,0.971556408,0.0177,0.0494,0.0893,0.0385,0.003398226,0.0017,-0.013422819,0.0027,-0.0189,0.011434544,NaN,-0.100909,-0.109396
193112,8.12,0.82,0.61,1.170731707,0.0241,0.0532,0.1042,0.0407,-0.012921001,0.0012,-0.006802721,-0.022,-0.0286,0.021195349,NaN,-0.137557,-0.145471
193201,7.89,0.7933,0.5933,1.191378184,0.0248,0.052,0.0913,0.039,-0.011577435,0.0023,-0.020547945,0.0034,-0.0052,0.017376785,NaN,-0.018803,-0.021067
193202,8.29,0.7667,0.5767,1.119842829,0.0242,0.0523,0.0887,0.0367,-0.015727669,0.0023,-0.013986014,0.0413,-0.0238,0.026715251,NaN,0.053581,0.045233
193203,7.31,0.74,0.56,1.185862445,0.0225,0.0498,0.0883,0.037,-0.008415512,0.0016,-0.007092199,-0.0018,0.0356,0.013408922,NaN,-0.118907,-0.125245
193204,5.83,0.7133,0.5433,1.553727874,0.0111,0.0517,0.1046,0.0336,-0.015474679,0.0011,-0.007142857,0.0604,-0.0176,0.019851413,NaN,-0.205295,-0.207637
193205,4.47,0.6867,0.5267,1.942333482,0.0031,0.0536,0.11,0.0349,-0.034050805,0.0006,-0.014388489,-0.0188,0.0107,0.023183792,NaN,-0.232123,-0.240123
193206,4.43,0.66,0.51,2.028478058,0.0034,0.0541,0.11,0.0347,-0.040688371,0.0002,-0.00729927,0.0065,-0.0009,0.034302583,NaN,0.002768,-0.006507
193207,6.1,0.6333,0.4933,1.612544071,0.0022,0.0526,0.1079,0.032,-0.029176136,0.0003,0,0.0481,0.0043,0.020110579,NaN,0.391838,0.390006
193208,8.39,0.6067,0.4767,1.187807545,0.0014,0.0491,0.0822,0.0321,-0.015063688,0.0003,-0.007352941,0.0003,0.0436,0.040019306,NaN,0.401979,0.394164
193209,8.08,0.58,0.46,1.214365567,0.0003,0.047,0.0761,0.0319,0.000704378,0.0003,-0.007407407,0.0057,0.0301,0.043298566,NaN,-0.029526,-0.034118
193210,6.96,0.5533,0.4433,1.403877221,0.0001,0.0464,0.0787,0.0322,-0.002874133,0.0002,-0.007462687,-0.0017,0.0074,0.035644759,NaN,-0.142069,-0.143263
193211,6.55,0.5267,0.4267,1.542147294,0.0001,0.0463,0.0824,0.0322,-0.003322151,0.0002,-0.007518797,0.0032,0.0073,0.023316603,NaN,-0.052228,-0.058702
193212,6.89,0.5,0.41,1.442084301,0.0004,0.0459,0.0842,0.0315,-0.00503248,0.0001,-0.007575758,0.0131,0.0139,0.010223099,NaN,0.061569,0.053749
193301,6.94,0.495,0.4125,1.426929392,0.0007,0.0444,0.0801,0.0308,-0.006490713,0.0001,-0.015267176,0.0148,0.0547,0.005916609,NaN,0.013938,0.012575
193302,5.66,0.49,0.415,1.690990465,0.0001,0.0448,0.0837,0.0325,-0.005817823,-0.0003,-0.015503876,-0.0258,-0.0523,0.015666928,NaN,-0.179558,-0.186035
193303,5.85,0.485,0.4175,1.476534296,0.0134,0.0468,0.0891,0.0321,-0.02188381,0.0004,-0.007874016,0.0097,0.0047,0.037454111,NaN,0.038627,0.032581
193304,8.32,0.48,0.42,1.119015048,0.0045,0.0478,0.0912,0.0325,-0.006369298,0.001,0,-0.0032,-0.0095,0.029151226,NaN,0.414312,0.412291
193305,9.64,0.475,0.4225,0.928384973,0.0029,0.0463,0.0774,0.0308,-0.003001643,0.0004,0,0.0303,0.0588,0.011963833,NaN,0.174816,0.170167
193306,10.91,0.47,0.425,0.833503159,0.0007,0.0446,0.0707,0.0306,0.000760917,0.0002,0.007936508,0.005,0.019,0.019819363,NaN,0.137498,0.133994
193307,9.95,0.465,0.4275,0.901178804,0.0019,0.0436,0.0662,0.0309,0.002713484,0.0002,0.031496063,-0.0017,0.0161,0.032868097,NaN,-0.084736,-0.085471
193308,11.09,0.46,0.43,0.798750122,0.0001,0.043,0.0677,0.0308,0.002147224,0.0003,0.007633588,0.0044,0.0093,0.011878964,NaN,0.123272,0.119807
193309,9.83,0.455,0.4325,0.867996604,0.0004,0.0436,0.0727,0.0308,-0.00045849,0.0002,0,0.0023,-0.0014,0.014249909,NaN,-0.118045,-0.121112
193310,8.96,0.45,0.435,0.927858439,0.0009,0.0434,0.0749,0.0315,0.003462966,0.0001,0,-0.0091,0.004,0.02767577,NaN,-0.090623,-0.091588
193311,9.88,0.445,0.4375,0.833503159,0.0022,0.0454,0.0798,0.0327,0.005923477,0.0002,0,-0.0149,-0.0248,0.009581576,NaN,0.108553,0.10207
193312,10.1,0.44,0.44,0.829026046,0.0029,0.045,0.0775,0.0336,0.006195828,0.0002,0,-0.0113,0.0257,0.00559057,NaN,0.026694,0.02443
193401,11.17,0.4408,0.4442,0.762917366,0.0072,0.0435,0.0701,0.0321,0.003558323,0.0005,0,0.0257,0.0257,0.00663891,NaN,0.115033,0.113644
193402,10.76,0.4417,0.4483,0.790643727,0.0062,0.042,0.0627,0.0317,0.005594944,0.0002,0.007575758,0.0081,0.0146,0.005567285,NaN,-0.03284,-0.037272
193403,10.75,0.4425,0.4525,0.802512212,0.0024,0.0413,0.0626,0.0307,0.009606328,0.0002,0,0.0197,0.0187,0.006372525,NaN,0.005355,0.002464
193404,10.46,0.4433,0.4567,0.801074734,0.0015,0.0407,0.0601,0.03,0.007828797,0.0001,0,0.0126,0.0104,0.001899187,NaN,-0.02549,-0.026944
193405,9.61,0.4442,0.4608,0.856382979,0.0016,0.0401,0.0605,0.0292,0.007652304,0.0001,0,0.0131,0.009,0.0073632,NaN,-0.078497,-0.082255
193406,9.81,0.445,0.465,0.840731071,0.0015,0.0393,0.0606,0.0289,0.00598278,0.0001,0.007518797,0.0067,0.0158,0.006894645,NaN,0.02408,0.021102
193407,8.68,0.4458,0.4692,0.914253265,0.0015,0.0389,0.0613,0.0288,0.002907841,0.0001,0,0.004,0.0047,0.011531331,NaN,-0.119846,-0.121723
193408,9.15,0.4467,0.4733,0.866896403,0.0019,0.0393,0.0649,0.0299,0.019956904,0.0001,0,-0.0118,0.0047,0.006501447,NaN,0.05865,0.051629
193409,9.1,0.4475,0.4775,0.870364364,0.0021,0.0396,0.0657,0.031,0.019439017,0.0001,0.014925373,-0.0146,-0.0061,0.004830819,NaN,-0.000216,-0.003127
193410,8.81,0.4483,0.4817,0.862253642,0.0027,0.039,0.064,0.03,0.023897271,0.0001,-0.007352941,0.0182,0.0102,0.004358161,NaN,-0.032663,-0.033732
193411,9.54,0.4492,0.4858,0.782008937,0.0025,0.0386,0.0637,0.0299,0.020711039,0.0001,0,0.0037,0.0129,0.002025305,NaN,0.086059,0.080682
193412,9.5,0.45,0.49,0.773740869,0.0023,0.0381,0.0623,0.0293,0.020812716,0.0001,-0.007407407,0.0112,0.0101,0.002608946,NaN,-0.000681,-0.004415
193501,9.1,0.45,0.57,0.791621595,0.002,0.0377,0.0598,0.0281,0.020997429,0.0001,0.014925373,0.0182,0.0211,0.002213604,NaN,-0.042368,-0.043755
193502,8.74,0.45,0.65,0.786286384,0.0019,0.0369,0.0595,0.0275,0.014708642,0.0002,0.007352941,0.0092,0.0141,0.003279982,NaN,-0.03684,-0.04266
193503,8.47,0.45,0.73,0.800754118,0.0015,0.0367,0.062,0.0274,0.012045956,0.0001,0,0.0041,0.0043,0.003972862,NaN,-0.031454,-0.035324
193504,9.28,0.4467,0.7567,0.737322979,0.0015,0.0366,0.0613,0.0269,0.019093688,0.0001,0.00729927,0.0079,0.0112,0.003162169,NaN,0.096493,0.095347
193505,9.58,0.4433,0.7833,0.729392625,0.0015,0.0365,0.0594,0.0276,0.019298041,0.0001,0,-0.0057,0.0042,0.002877662,NaN,0.038135,0.033059
193506,10.23,0.44,0.81,0.681818182,0.0015,0.0361,0.0577,0.027,0.019343977,0.0001,-0.007246377,0.0092,0.0112,0.002810458,NaN,0.070533,0.067124
193507,11.08,0.44,0.7933,0.639309198,0.0015,0.0356,0.0567,0.0268,0.017409775,0.0001,0,0.0046,0.0111,0.001680048,NaN,0.083814,0.082471
193508,11.32,0.44,0.7767,0.63368669,0.0016,0.036,0.0558,0.0281,0.004981615,0.0001,0,-0.0133,-0.0042,0.003774986,NaN,0.026569,0.022105
193509,11.59,0.44,0.76,0.611734385,0.002,0.0359,0.0553,0.0282,0.008026621,0.0001,0,0.0009,0,0.002428824,NaN,0.025526,0.022175
193510,12.46,0.45,0.76,0.577501073,0.002,0.0352,0.0554,0.0279,0.002950727,0.0001,0,0.0061,0.0042,0.003259193,NaN,0.071803,0.070634
193511,12.95,0.46,0.76,0.566952368,0.0016,0.0347,0.0543,0.028,0.002219429,0.0002,0.00729927,0.001,0.0069,0.003149683,NaN,0.051943,0.04562
193512,13.43,0.47,0.76,0.559911191,0.0015,0.0344,0.053,0.0276,0.008688835,0.0001,0,0.007,0.0083,0.002897366,NaN,0.039887,0.036744
193601,14.31,0.48,0.77,0.539835441,0.002,0.0337,0.05,0.0285,0.008907728,0.0001,0,0.0055,0.0082,0.001867159,NaN,0.071832,0.070187
193602,14.55,0.49,0.78,0.529076247,0.002,0.0332,0.048,0.0281,0.013760454,0.0001,0,0.0081,0.0054,0.002222594,NaN,0.022461,0.018857
